Material_ID,Warehouse_ID,Current_Stock(RM),Last_Updated,RM_Reorder_Level,Stock_Status
RM001,WH01,1119923,2025-12-31,100,OK
RM001,WH02,562327,2025-12-31,100,OK
RM001,WH03,1186904,2025-12-31,100,OK
RM001,WH04,1267660,2025-12-31,100,OK
RM001,WH05,539988,2025-12-31,100,OK
RM002,WH01,1176947,2025-12-31,101,OK
RM002,WH02,642303,2025-12-31,101,OK
RM002,WH03,1165160,2025-12-31,101,OK
RM002,WH04,1193530,2025-12-31,101,OK
RM002,WH05,546577,2025-12-31,101,OK
RM003,WH01,1104707,2025-12-31,100,OK
RM003,WH02,663342,2025-12-31,100,OK
RM003,WH03,1222100,2025-12-31,100,OK
RM003,WH04,1145106,2025-12-31,100,OK
RM003,WH05,517182,2025-12-31,100,OK
RM004,WH01,1135403,2025-12-31,100,OK
RM004,WH02,601497,2025-12-31,100,OK
RM004,WH03,1123477,2025-12-31,100,OK
RM004,WH04,1167967,2025-12-31,100,OK
RM004,WH05,568115,2025-12-31,100,OK
RM005,WH01,1167465,2025-12-31,100,OK
RM005,WH02,580098,2025-12-31,100,OK
RM005,WH03,1183624,2025-12-31,100,OK
RM005,WH04,1253302,2025-12-31,100,OK
RM005,WH05,584936,2025-12-31,100,OK
RM006,WH01,1184574,2025-12-31,100,OK
RM006,WH02,600072,2025-12-31,100,OK
RM006,WH03,1185571,2025-12-31,100,OK
RM006,WH04,1237465,2025-12-31,100,OK
RM006,WH05,538378,2025-12-31,100,OK
RM007,WH01,1122223,2025-12-31,100,OK
RM007,WH02,594697,2025-12-31,100,OK
RM007,WH03,1112538,2025-12-31,100,OK
RM007,WH04,1242387,2025-12-31,100,OK
RM007,WH05,527754,2025-12-31,100,OK
RM008,WH01,1201566,2025-12-31,100,OK
RM008,WH02,599840,2025-12-31,100,OK
RM008,WH03,1172353,2025-12-31,100,OK
RM008,WH04,1197582,2025-12-31,100,OK
RM008,WH05,553386,2025-12-31,100,OK
RM009,WH01,1152764,2025-12-31,100,OK
RM009,WH02,594593,2025-12-31,100,OK
RM009,WH03,1180870,2025-12-31,100,OK
RM009,WH04,1237543,2025-12-31,100,OK
RM009,WH05,551690,2025-12-31,100,OK
RM010,WH01,1113059,2025-12-31,100,OK
RM010,WH02,594244,2025-12-31,100,OK
RM010,WH03,1145717,2025-12-31,100,OK
RM010,WH04,1236924,2025-12-31,100,OK
RM010,WH05,551615,2025-12-31,100,OK
RM011,WH01,1110213,2025-12-31,100,OK
RM011,WH02,609804,2025-12-31,100,OK
RM011,WH03,1106182,2025-12-31,100,OK
RM011,WH04,1279603,2025-12-31,100,OK
RM011,WH05,522422,2025-12-31,100,OK
RM012,WH01,1115278,2025-12-31,100,OK
RM012,WH02,576790,2025-12-31,100,OK
RM012,WH03,1132935,2025-12-31,100,OK
RM012,WH04,1313927,2025-12-31,100,OK
RM012,WH05,588186,2025-12-31,100,OK
RM013,WH01,1166061,2025-12-31,100,OK
RM013,WH02,602731,2025-12-31,100,OK
RM013,WH03,1143873,2025-12-31,100,OK
RM013,WH04,1207224,2025-12-31,100,OK
RM013,WH05,515993,2025-12-31,100,OK
RM014,WH01,1172188,2025-12-31,100,OK
RM014,WH02,652202,2025-12-31,100,OK
RM014,WH03,1167445,2025-12-31,100,OK
RM014,WH04,1282618,2025-12-31,100,OK
RM014,WH05,565991,2025-12-31,100,OK
RM015,WH01,1181446,2025-12-31,100,OK
RM015,WH02,644123,2025-12-31,100,OK
RM015,WH03,1127128,2025-12-31,100,OK
RM015,WH04,1271059,2025-12-31,100,OK
RM015,WH05,536370,2025-12-31,100,OK
RM016,WH01,1098800,2025-12-31,100,OK
RM016,WH02,608178,2025-12-31,100,OK
RM016,WH03,1138675,2025-12-31,100,OK
RM016,WH04,1251544,2025-12-31,100,OK
RM016,WH05,553121,2025-12-31,100,OK
RM017,WH01,1105621,2025-12-31,100,OK
RM017,WH02,621691,2025-12-31,100,OK
RM017,WH03,1185666,2025-12-31,100,OK
RM017,WH04,1304837,2025-12-31,100,OK
RM017,WH05,566209,2025-12-31,100,OK
RM018,WH01,1155438,2025-12-31,100,OK
RM018,WH02,626563,2025-12-31,100,OK
RM018,WH03,1174065,2025-12-31,100,OK
RM018,WH04,1210276,2025-12-31,100,OK
RM018,WH05,565941,2025-12-31,100,OK
RM019,WH01,1171500,2025-12-31,101,OK
RM019,WH02,550917,2025-12-31,101,OK
RM019,WH03,1185056,2025-12-31,101,OK
RM019,WH04,1214597,2025-12-31,101,OK
RM019,WH05,527228,2025-12-31,101,OK
RM020,WH01,1173355,2025-12-31,100,OK
RM020,WH02,640924,2025-12-31,100,OK
RM020,WH03,1180213,2025-12-31,100,OK
RM020,WH04,1253890,2025-12-31,100,OK
RM020,WH05,539896,2025-12-31,100,OK
RM021,WH01,1155163,2025-12-31,100,OK
RM021,WH02,609718,2025-12-31,100,OK
RM021,WH03,1185243,2025-12-31,100,OK
RM021,WH04,1339309,2025-12-31,100,OK
RM021,WH05,557234,2025-12-31,100,OK
RM022,WH01,1123436,2025-12-31,100,OK
RM022,WH02,618674,2025-12-31,100,OK
RM022,WH03,1151575,2025-12-31,100,OK
RM022,WH04,1307934,2025-12-31,100,OK
RM022,WH05,560475,2025-12-31,100,OK
RM023,WH01,1122662,2025-12-31,100,OK
RM023,WH02,581138,2025-12-31,100,OK
RM023,WH03,1148559,2025-12-31,100,OK
RM023,WH04,1249265,2025-12-31,100,OK
RM023,WH05,574295,2025-12-31,100,OK
RM024,WH01,1164493,2025-12-31,100,OK
RM024,WH02,663384,2025-12-31,100,OK
RM024,WH03,1144430,2025-12-31,100,OK
RM024,WH04,1233540,2025-12-31,100,OK
RM024,WH05,563655,2025-12-31,100,OK
RM025,WH01,1135866,2025-12-31,100,OK
RM025,WH02,572613,2025-12-31,100,OK
RM025,WH03,1119595,2025-12-31,100,OK
RM025,WH04,1227927,2025-12-31,100,OK
RM025,WH05,575246,2025-12-31,100,OK
RM026,WH01,1167963,2025-12-31,100,OK
RM026,WH02,614189,2025-12-31,100,OK
RM026,WH03,1101650,2025-12-31,100,OK
RM026,WH04,1205286,2025-12-31,100,OK
RM026,WH05,570207,2025-12-31,100,OK
RM027,WH01,1136126,2025-12-31,100,OK
RM027,WH02,609313,2025-12-31,100,OK
RM027,WH03,1145055,2025-12-31,100,OK
RM027,WH04,1269093,2025-12-31,100,OK
RM027,WH05,552362,2025-12-31,100,OK
RM028,WH01,1157547,2025-12-31,100,OK
RM028,WH02,624235,2025-12-31,100,OK
RM028,WH03,1101100,2025-12-31,100,OK
RM028,WH04,1249040,2025-12-31,100,OK
RM028,WH05,553457,2025-12-31,100,OK
RM029,WH01,1069898,2025-12-31,100,OK
RM029,WH02,604182,2025-12-31,100,OK
