Product_ID,Warehouse_ID,Current_Stock(Prod.),Last_Updated,Stock_Status
P01,WH01,0,2025-12-31,Out of Stock
P01,WH02,238110,2025-12-31,OK
P01,WH03,235192,2025-12-31,OK
P01,WH04,0,2025-12-31,Out of Stock
P01,WH05,0,2025-12-31,Out of Stock
P02,WH01,0,2025-12-31,Out of Stock
P02,WH02,238547,2025-12-31,OK
P02,WH03,235665,2025-12-31,OK
P02,WH04,0,2025-12-31,Out of Stock
P02,WH05,0,2025-12-31,Out of Stock
P03,WH01,0,2025-12-31,Out of Stock
P03,WH02,235293,2025-12-31,OK
P03,WH03,235764,2025-12-31,OK
P03,WH04,0,2025-12-31,Out of Stock
P03,WH05,0,2025-12-31,Out of Stock
P04,WH01,0,2025-12-31,Out of Stock
P04,WH02,234405,2025-12-31,OK
P04,WH03,233837,2025-12-31,OK
P04,WH04,0,2025-12-31,Out of Stock
P04,WH05,0,2025-12-31,Out of Stock
P05,WH01,0,2025-12-31,Out of Stock
P05,WH02,237276,2025-12-31,OK
P05,WH03,238686,2025-12-31,OK
P05,WH04,0,2025-12-31,Out of Stock
P05,WH05,0,2025-12-31,Out of Stock
