Supplier_ID,Category,Country,Avg_Lead_Time(Days),On_Time_Rate,Defect_Rate_%,Quality_Score(Out_of_5),Last_Audit_Date,Certification_Status
SUP001,Cocoa,Ghana,41.0,0.6333,1.65,3.24,31/12/2025,BRC
SUP002,Cocoa,Ivory Coast,59.0,0.0333,3.57,0.67,31/12/2025,FSSC22000
SUP003,Cocoa,Ivory Coast,58.0,0.0667,3.92,0.63,31/12/2025,ISO9001
SUP004,Cocoa,Ivory Coast,34.0,0.8667,3.18,3.33,31/12/2025,FSSC22000
SUP005,Cocoa,Ivory Coast,33.0,0.9,2.62,3.65,31/12/2025,FSSC22000
SUP006,Cocoa,Ivory Coast,40.0,0.6667,2.35,3.06,31/12/2025,BRC
SUP007,Cocoa,Ghana,47.0,0.4333,2.07,2.47,31/12/2025,FSSC22000
SUP008,Cocoa,Ghana,56.0,0.1333,4.68,0.53,31/12/2025,BRC
SUP009,Cocoa,Ghana,50.0,0.3333,4.24,1.3,31/12/2025,ISO9001
SUP010,Cocoa,Ivory Coast,35.0,0.8333,4.84,2.56,31/12/2025,BRC
SUP011,Cocoa,Ghana,51.0,0.3,1.06,2.48,31/12/2025,ISO9001
SUP012,Cocoa,Ivory Coast,35.0,0.8333,3.79,2.98,31/12/2025,BRC
SUP013,Cocoa,Ivory Coast,51.0,0.3,4.72,1.01,31/12/2025,PENDING
SUP014,Cocoa,Ghana,37.0,0.7667,1.32,3.77,31/12/2025,PENDING
SUP015,Cocoa,Ghana,47.0,0.4333,0.8,2.98,31/12/2025,FSSC22000
SUP016,Cocoa,Ivory Coast,37.0,0.7667,3.84,2.76,31/12/2025,BRC
SUP017,Cocoa,Ghana,53.0,0.2333,3.09,1.46,31/12/2025,BRC
SUP018,Cocoa,Ivory Coast,49.0,0.3667,4.29,1.38,31/12/2025,ISO9001
SUP019,Cocoa,Ivory Coast,47.0,0.4333,1.13,2.85,31/12/2025,FSSC22000
SUP020,Cocoa,Ivory Coast,43.0,0.5667,4.08,2.07,31/12/2025,BRC
SUP021,Cocoa,Ivory Coast,60.0,0.0,1.41,1.44,31/12/2025,FSSC22000
SUP022,Cocoa,Ivory Coast,43.0,0.5667,1.24,3.2,31/12/2025,PENDING
SUP023,Cocoa,Ghana,41.0,0.6333,1.24,3.4,31/12/2025,BRC
SUP024,Cocoa,Ghana,51.0,0.3,4.17,1.23,31/12/2025,BRC
SUP025,Cocoa,Ivory Coast,43.0,0.5667,3.49,2.3,31/12/2025,FSSC22000
SUP026,Cocoa,Ivory Coast,33.0,0.9,2.85,3.56,31/12/2025,BRC
SUP027,Cocoa,Ghana,41.0,0.6333,2.11,3.06,31/12/2025,FSSC22000
SUP028,Cocoa,Ghana,50.0,0.3333,4.45,1.22,31/12/2025,BRC
SUP029,Cocoa,Ivory Coast,36.0,0.8,2.27,3.49,31/12/2025,ISO9001
SUP030,Cocoa,Ghana,60.0,0.0,4.17,0.33,31/12/2025,FSSC22000
SUP031,Cocoa,Ivory Coast,54.0,0.2,2.48,1.61,31/12/2025,BRC
SUP032,Cocoa,Ghana,58.0,0.0667,2.2,1.32,31/12/2025,PENDING
SUP033,Cocoa,Ivory Coast,52.0,0.2667,2.58,1.77,31/12/2025,BRC
SUP034,Cocoa,Ghana,31.0,0.9667,1.86,4.16,31/12/2025,PENDING
SUP035,Cocoa,Ivory Coast,47.0,0.4333,3.86,1.76,31/12/2025,PENDING
SUP036,Cocoa,Ghana,39.0,0.7,2.76,3.0,31/12/2025,ISO9001
SUP037,Cocoa,Ghana,49.0,0.3667,1.54,2.48,31/12/2025,FSSC22000
SUP038,Cocoa,Ivory Coast,45.0,0.5,4.55,1.68,31/12/2025,BRC
SUP039,Cocoa,Ghana,41.0,0.6333,2.23,3.01,31/12/2025,ISO9001
